Label,Notation,Parent Notation,Sort Priority
All ages,all-ages,,
<16 yrs,less-than-16-yrs,,
Not applicable,not-applicable,,
<18 yrs,less-than-18-yrs,,
20-24 yrs,20-24-yrs,,
25-34 yrs,25-34-yrs,,
16+ yrs,16-yrs-or-greater,,
16-19 yrs,16-19-yrs,,
50+ yrs,50-yrs-or-greater,,
35-49 yrs,35-49-yrs,,
15-64 yrs,15-64-yrs,,
18+ yrs,18-yrs-or-greater,,
25-29 yrs,25-29-yrs,,
30-34 yrs,30-34-yrs,,
35-39 yrs,35-39-yrs,,
40-44 yrs,40-44-yrs,,
45-49 yrs,45-49-yrs,,
50-54 yrs,50-54-yrs,,
55-59 yrs,55-59-yrs,,
60-64 yrs,60-64-yrs,,
65-69 yrs,65-69-yrs,,
70-74 yrs,70-74-yrs,,
75-79 yrs,75-79-yrs,,
80-84 yrs,80-84-yrs,,
85-89 yrs,85-89-yrs,,
90+ yrs,90-yrs-or-greater,,
18-64 yrs,18-64-yrs,,
18-24 yrs,18-24-yrs,,
35-44 yrs,35-44-yrs,,
60+ yrs,60-yrs-or-greater,,
18-34 yrs,18-34-yrs,,
45-59 yrs,45-59-yrs,,
16-64 yrs,16-64-yrs,,
16-74 yrs,16-74-yrs,,
15-74 yrs,15-74-yrs,,
35+ yrs,35-yrs-or-greater,,
10+ yrs,10-yrs-or-greater,,
18-74 yrs,18-74-yrs,,
