Label,Notation,Parent Notation,Sort Priority
Most deprived decile (IMD2019),most-deprived-decile-imd2019,,
Second most deprived decile (IMD2019),second-most-deprived-decile-imd2019,,
Third more deprived decile (IMD2019),third-more-deprived-decile-imd2019,,
Fourth more deprived decile (IMD2019),fourth-more-deprived-decile-imd2019,,
Fifth more deprived decile (IMD2019),fifth-more-deprived-decile-imd2019,,
Fifth less deprived decile (IMD2019),fifth-less-deprived-decile-imd2019,,
Fourth less deprived decile (IMD2019),fourth-less-deprived-decile-imd2019,,
Third less deprived decile (IMD2019),third-less-deprived-decile-imd2019,,
Second least deprived decile (IMD2019),second-least-deprived-decile-imd2019,,
Least deprived decile (IMD2019),least-deprived-decile-imd2019,,
