Label,Notation,Parent Notation,Sort Priority
Most deprived decile (IMD2015),most-deprived-decile-imd2015,,
Second most deprived decile (IMD2015),second-most-deprived-decile-imd2015,,
Third more deprived decile (IMD2015),third-more-deprived-decile-imd2015,,
Fourth more deprived decile (IMD2015),fourth-more-deprived-decile-imd2015,,
Fifth more deprived decile (IMD2015),fifth-more-deprived-decile-imd2015,,
Fifth less deprived decile (IMD2015),fifth-less-deprived-decile-imd2015,,
Fourth less deprived decile (IMD2015),fourth-less-deprived-decile-imd2015,,
Third less deprived decile (IMD2015),third-less-deprived-decile-imd2015,,
Second least deprived decile (IMD2015),second-least-deprived-decile-imd2015,,
Least deprived decile (IMD2015),least-deprived-decile-imd2015,,
