Label,Notation,Parent Notation,Sort Priority
4BF,4bf,,1
1B,1b,,2
3A65OV,3a65ov,,3
3AM,3am,,4
1B65OV,1b65ov,,5
1A1864,1a1864,,6
1I2F,1i2f,,7
1I2,1i2,,8
3BF,3bf,,9
1I165OV,1i165ov,,10
4BM,4bm,,11
3C1864,3c1864,,12
4A,4a,,13
3AF,3af,,14
3C65OV,3c65ov,,15
1I1M,1i1m,,16
3C,3c,,17
1I1,1i1,,18
1EF,1ef,,19
1EM,1em,,20
1DF,1df,,21
3D2M,3d2m,,22
4AM,4am,,23
1DM,1dm,,24
3D265OV,3d265ov,,25
3CF,3cf,,26
1AM,1am,,27
1D65OV,1d65ov,,28
3D1M,3d1m,,29
3D1F,3d1f,,30
3B65OV,3b65ov,,31
3D1,3d1,,32
1BF,1bf,,33
1J,1j,,34
1C1A65OV,1c1a65ov,,35
1C1A,1c1a,,36
1C1A1864,1c1a1864,,37
1C1B,1c1b,,38
1C1B6584,1c1b6584,,39
1C1B64U,1c1b64u,,40
1C1B85OV,1c1b85ov,,41
1C2A1864,1c2a1864,,42
1C2A65OV,1c2a65ov,,43
1C2A,1c2a,,44
1C2B64U,1c2b64u,,45
1C2B85OV,1c2b85ov,,46
1C2B6584,1c2b6584,,47
1C2B,1c2b,,48
1F,1f,,49
1FF,1ff,,50
1FM,1fm,,51
1G,1g,,52
1GF,1gf,,53
1GM,1gm,,54
1H,1h,,55
1HF,1hf,,56
1HM,1hm,,57
1I21864,1i21864,,58
2A1,2a1,,59
2A2,2a2,,60
2B16574,2b16574,,61
2B185OV,2b185ov,,62
2B1M,2b1m,,63
2B1F,2b1f,,64
2B1,2b1,,65
2B17584,2b17584,,66
2B2,2b2,,67
2B285OV,2b285ov,,68
2B26574,2b26574,,69
2B2M,2b2m,,70
2B2F,2b2f,,71
2B27584,2b27584,,72
2C1,2c1,,73
2C2,2c2,,74
2C3,2c3,,75
2D,2d,,76
2D65OV,2d65ov,,77
2D1864,2d1864,,78
3A,3a,,79
4B,4b,,80
3A1864,3a1864,,81
1I2M,1i2m,,82
1I1F,1i1f,,83
1BM,1bm,,84
1D,1d,,85
3B,3b,,86
1AF,1af,,87
4A1864,4a1864,,88
3D165OV,3d165ov,,89
1E,1e,,90
1B1864,1b1864,,91
3D21864,3d21864,,92
1I265OV,1i265ov,,93
3D2F,3d2f,,94
1A,1a,,95
3D2,3d2,,96
1A65OV,1a65ov,,97
4AF,4af,,98
4B1864,4b1864,,99
4A65OV,4a65ov,,100
1I11864,1i11864,,101
3B1864,3b1864,,102
3CM,3cm,,103
3D11864,3d11864,,104
1D1864,1d1864,,105
3BM,3bm,,106
4B65OV,4b65ov,,107
