Label,Notation,Parent Notation,Sort Priority
 All  ,all,,1.0
 Provision  ,provision,all,2.0
  Academy  ,academy,all,3.0
  Age and Gender   ,age-and-gender,all,4.0
 Nursery Years 1 and 2  ,nursery-years-1-and-2,all,5.0
 Reception  ,reception,all,6.0
1,1,all,7.0
2,2,all,8.0
3,3,all,9.0
4,4,all,10.0
5,5,all,11.0
6,6,all,12.0
 7 and Above  ,7-and-above,all,13.0
 Nc Not Followed  ,nc-not-followed,all,14.0
  Total  ,total,all,15.0
  Nursery Reception and 1 To 4   ,nursery-reception-and-1-to-4,all,16.0
7,7,all,17.0
8,8,all,18.0
9,9,all,19.0
10,10,all,20.0
11,11,all,21.0
 12 and Above   ,12-and-above,all,22.0
 Total Pupils  ,total-pupils,all,23.0
 Number Known To Be Eligible For and Claiming Free School Meals  ,number-known-to-be-eligible-for-and-claiming-free-school-meals,all,24.0
 White   ,white,all,25.0
 White British   ,white-british,all,26.0
 Irish   ,irish,all,27.0
 Traveller Of Irish Heritage  ,traveller-of-irish-heritage,all,28.0
 Gypsy Or Roma  ,gypsy-or-roma,all,29.0
  Any Other White Background  ,any-other-white-background,all,30.0
  Mixed  ,mixed,all,31.0
 White and Black Caribbean  ,white-and-black-caribbean,all,32.0
  White and Black African  ,white-and-black-african,all,33.0
 White and Asian  ,white-and-asian,all,34.0
  Any Other Mixed Background  ,any-other-mixed-background,all,35.0
  Asian  ,asian,all,36.0
  Indian  ,indian,all,37.0
 Pakistani   ,pakistani,all,38.0
 Bangladeshi  ,bangladeshi,all,39.0
  Any Other Asian Background   ,any-other-asian-background,all,40.0
 Black  ,black,all,41.0
 Black Caribbean   ,black-caribbean,all,42.0
 Black African   ,black-african,all,43.0
 Any Other Black Background  ,any-other-black-background,all,44.0
 Chinese  ,chinese,all,45.0
  Any Other Ethnic Group  ,any-other-ethnic-group,all,46.0
  Classified  ,classified,all,47.0
  Unclassified  ,unclassified,all,48.0
 Minority Ethnic Pupils  ,minority-ethnic-pupils,all,49.0
  All Pupils  ,all-pupils,all,50.0
 First Language Is Known To Be Or Believed To Be Other Than English  ,first-language-is-known-to-be-or-believed-to-be-other-than-english,all,51.0
 First Language Is Known To Be Or Believed To Be English  ,first-language-is-known-to-be-or-believed-to-be-english,all,52.0
 Specific Learning Difficulty    Moderate Learning Difficulty  ,specific-learning-difficulty    moderate-learning-difficulty,all,53.0
 Severe Learning Difficulty  ,severe-learning-difficulty,all,54.0
 Profound Multiple Learning Difficulty  ,profound-multiple-learning-difficulty,all,55.0
 Social Emotional and Mental Health  ,social-emotional-and-mental-health,all,56.0
 Speech Language and Communications Needs   ,speech-language-and-communications-needs,all,57.0
 Hearing Impairment  ,hearing-impairment,all,58.0
 Visual Impairment   ,visual-impairment,all,59.0
 Multi SENsory Impairment  ,multi-sensory-impairment,all,60.0
 Physical Disability   ,physical-disability,all,61.0
 Autistic Spectrum Disorder  ,autistic-spectrum-disorder,all,62.0
 Other Difficulty Or Disability  ,other-difficulty-or-disability,all,63.0
 SEN Support But No Specialist Assessment Of Type Of Need  ,sen-support-but-no-specialist-assessment-of-type-of-need,all,64.0
 School Provision   ,school-provision,all,65.0
 School Size  ,school-size,all,66.0
  Resources  ,resources,all,67.0
 Statement Or EHC Plan   ,statement-or-ehc-plan,all,68.0
 SEN Support   ,sen-support,all,69.0
 Local Area  ,local-area,all,70.0
 School Area  ,school-area,all,71.0
  Primary Need   ,primary-need,all,72.0
 Pupils On SEN Support  ,pupils-on-sen-support,all,73.0
 Pupils With SEN With Statements Or EHC Plans  ,pupils-with-sen-with-statements-or-ehc-plans,all,74.0
 Pupils With SEN With Statements Or EHC Plan  ,pupils-with-sen-with-statements-or-ehc-plan,all,75.0
 SEN Support By Ethnic Group White  ,sen-support-by-ethnic-group-white,all,76.0
 SEN Support By Ethnic Group White British  ,sen-support-by-ethnic-group-white-british,all,77.0
 SEN Support By Ethnic Group Irish  ,sen-support-by-ethnic-group-irish,all,78.0
 SEN Support By Ethnic Group Traveller Of Irish Heritage  ,sen-support-by-ethnic-group-traveller-of-irish-heritage,all,79.0
 SEN Support By Ethnic Group Gypsy Or Roma  ,sen-support-by-ethnic-group-gypsy-or-roma,all,80.0
 SEN Support By Ethnic Group Any Other White Background  ,sen-support-by-ethnic-group-any-other-white-background,all,81.0
 SEN Support By Ethnic Group Mixed  ,sen-support-by-ethnic-group-mixed,all,82.0
 SEN Support By Ethnic Group White and Black Caribbean  ,sen-support-by-ethnic-group-white-and-black-caribbean,all,83.0
 SEN Support By Ethnic Group White and Black African  ,sen-support-by-ethnic-group-white-and-black-african,all,84.0
 SEN Support By Ethnic Group White and Asian  ,sen-support-by-ethnic-group-white-and-asian,all,85.0
 SEN Support By Ethnic Group Any Other Mixed Background  ,sen-support-by-ethnic-group-any-other-mixed-background,all,86.0
 SEN Support By Ethnic Group Asian  ,sen-support-by-ethnic-group-asian,all,87.0
 SEN Support By Ethnic Group Indian  ,sen-support-by-ethnic-group-indian,all,88.0
 SEN Support By Ethnic Group Pakistani  ,sen-support-by-ethnic-group-pakistani,all,89.0
 SEN Support By Ethnic Group Bangladeshi  ,sen-support-by-ethnic-group-bangladeshi,all,90.0
 SEN Support By Ethnic Group Any Other Asian Background  ,sen-support-by-ethnic-group-any-other-asian-background,all,91.0
 SEN Support By Ethnic Group Black  ,sen-support-by-ethnic-group-black,all,92.0
