Label,Notation,Parent Notation,Sort Priority
4BF,4bf,,1
3D1M,3d1m,,2
1B,1b,,3
3A65OV,3a65ov,,4
1I2M,1i2m,,5
4B,4b,,6
3AM,3am,,7
1B65OV,1b65ov,,8
1A1864,1a1864,,9
1D1864,1d1864,,10
3B1864,3b1864,,11
4AM,4am,,12
1I2F,1i2f,,13
3D2M,3d2m,,14
1I2,1i2,,15
3BF,3bf,,16
1I165OV,1i165ov,,17
3CF,3cf,,18
3D2,3d2,,19
3C65OV,3c65ov,,20
4BM,4bm,,21
3C1864,3c1864,,22
4A,4a,,23
3AF,3af,,24
1I1M,1i1m,,25
3C,3c,,26
1I1,1i1,,27
1EF,1ef,,28
3A1864,3a1864,,29
1EM,1em,,30
1DF,1df,,31
3A,3a,,32
1DM,1dm,,33
1I21864,1i21864,,34
1I1F,1i1f,,35
1B1864,1b1864,,36
3D265OV,3d265ov,,37
4B65OV,4b65ov,,38
1AM,1am,,39
1D65OV,1d65ov,,40
3BM,3bm,,41
3CM,3cm,,42
3D1F,3d1f,,43
4A65OV,4a65ov,,44
3B65OV,3b65ov,,45
1BF,1bf,,46
3D1,3d1,,47
1J,1j,,48
1A,1a,,49
1AF,1af,,50
1A65OV,1a65ov,,51
1BM,1bm,,52
1C1A65OV,1c1a65ov,,53
1C1A,1c1a,,54
1C1A1864,1c1a1864,,55
1C1B85OV,1c1b85ov,,56
1C1B6584,1c1b6584,,57
1C1B,1c1b,,58
1C1B64U,1c1b64u,,59
1C2A1864,1c2a1864,,60
1C2A,1c2a,,61
1C2A65OV,1c2a65ov,,62
1C2B,1c2b,,63
1C2B64U,1c2b64u,,64
1C2B6584,1c2b6584,,65
1C2B85OV,1c2b85ov,,66
1D,1d,,67
1E,1e,,68
1F,1f,,69
1FF,1ff,,70
1FM,1fm,,71
1G,1g,,72
1GF,1gf,,73
1GM,1gm,,74
1H,1h,,75
1HF,1hf,,76
1HM,1hm,,77
1I11864,1i11864,,78
1I265OV,1i265ov,,79
2A1,2a1,,80
2A2,2a2,,81
2B1,2b1,,82
2B1F,2b1f,,83
2B16574,2b16574,,84
2B17584,2b17584,,85
2B1M,2b1m,,86
2B185OV,2b185ov,,87
2B2M,2b2m,,88
2B27584,2b27584,,89
2B2,2b2,,90
2B26574,2b26574,,91
2B285OV,2b285ov,,92
2B2F,2b2f,,93
2C1,2c1,,94
2C2,2c2,,95
2C3,2c3,,96
2D,2d,,97
2D65OV,2d65ov,,98
2D1864,2d1864,,99
3B,3b,,100
3D165OV,3d165ov,,101
3D11864,3d11864,,102
3D21864,3d21864,,103
3D2F,3d2f,,104
4A1864,4a1864,,105
4AF,4af,,106
4B1864,4b1864,,107
