Label,Notation,Parent Notation,Sort Priority
all,all,,
<1,<1,,
01-04,01-04,,
05-09,05-09,,
10-14,10-14,,
15-19,15-19,,
16-64,16-64,,
16-69,16-69,,
16-19,16-19,,
20-24,20-24,,
25-29,25-29,,
20-29,20-29,,
30-34,30-34,,
35-39,35-39,,
30-39,30-39,,
40-44,40-44,,
45-49,45-49,,
40-49,40-49,,
50-54,50-54,,
55-59,55-59,,
50-59,50-59,,
60-64,60-64,,
65-69,65-69,,
65 & Over,65-over,,
70-74,70-74,,
75-79,75-79,,
80-84,80-84,,
85-89,85-89,,
"90","90",,
"90+","90+",,
Not reported,not-reported,,
Median Age,median-age,,
Total,total,,
