Label,Notation,Parent Notation,Sort Priority
All,all,,
Parent,parent,,
Spouse/civil partner,spouse-civil-partner,,
Cohabitee,cohabitee,,
"Son/Daughter",son-daughter,,
"Brother/Sister",brother-sister,,
Other relative,other-relative,,
Non-relative,non-relative,,
"Non-relative Friend/neighbour",non-relative-friend-neighbour,,
Non-relative Client of Voluntary Group,non-relative-client-of-voluntary-group,,
Non-relative Other,non-relative-other,,
Inside household,inside-household,,
Outside household,outside-household,,
Both inside and outside household,both-inside-and-outside-household,,
