Label,Notation,Parent Notation,Sort Priority
"Most deprived decile (IMD2015,4/19 geo)",most-deprived-decile-imd2015419-geo,,
"Second most deprived decile (IMD2015,4/19 geo)",second-most-deprived-decile-imd2015419-geo,,
"Third more deprived decile (IMD2015,4/19 geo)",third-more-deprived-decile-imd2015419-geo,,
"Fourth more deprived decile (IMD2015,4/19 geo)",fourth-more-deprived-decile-imd2015419-geo,,
"Fifth more deprived decile (IMD2015,4/19 geo)",fifth-more-deprived-decile-imd2015419-geo,,
"Fifth less deprived decile (IMD2015,4/19 geo)",fifth-less-deprived-decile-imd2015419-geo,,
"Fourth less deprived decile (IMD2015,4/19 geo)",fourth-less-deprived-decile-imd2015419-geo,,
"Third less deprived decile (IMD2015,4/19 geo)",third-less-deprived-decile-imd2015419-geo,,
"Second least deprived decile (IMD2015,4/19 geo)",second-least-deprived-decile-imd2015419-geo,,
"Least deprived decile (IMD2015,4/19 geo)",least-deprived-decile-imd2015419-geo,,
