Label,Notation,Parent Notation,Sort Priority
commercial,commercial,,1
communications,communications,,2
corporate-finance,corporate-finance,,3
counter-fraud,counter-fraud,,4
digital-data-and-technology,digital-data-and-technology,,5
economics,economics,,6
finance,finance,,7
human-resources,human-resources,,8
inspector-of-education-and-training,inspector-of-education-and-training,,9
intelligence-analysis,intelligence-analysis,,10
internal-audit,internal-audit,,11
knowledge-and-information-management,knowledge-and-information-management,,12
legal,legal,,13
medicine,medicine,,14
operational-delivery,operational-delivery,,15
operational-research,operational-research,,16
planning,planning,,17
planning-inspectors,planning-inspectors,,18
policy,policy,,19
project-delivery,project-delivery,,20
property,property,,21
psychology,psychology,,22
science-and-engineering,science-and-engineering,,23
security,security,,24
social-research,social-research,,25
statistics,statistics,,26
tax,tax,,27
veterinarian,veterinarian,,28
other,other,,29
non-response,non-response,,30
total,total,,31
all,all,,31
