Label,Notation,Parent Notation,Sort Priority
all,all,,1
"Up to £15,000",up-to-ps15-000,,2
"£15,001 - 20,000",ps15-001-20-000,,3
"£20,001 - 25,000",ps20-001-25-000,,4
"£25,001 - 30,000",ps25-001-30-000,,5
"£30,001 - 35,000",ps30-001-35-000,,6
"£35,001 - 40,000",ps35-001-40-000,,7
"£40,001 - 45,000",ps40-001-45-000,,8
"£45,001 - 50,000",ps45-001-50-000,,9
"£50,001 - 55,000",ps50-001-55-000,,10
"£55,001 - 60,000",ps55-001-60-000,,11
"£60,001 - 65,000",ps60-001-65-000,,12
"£65,001 - 70,000",ps65-001-70-000,,13
"£70,001 - 75,000",ps70-001-75-000,,14
"£75,001 - 100,000",ps75-001-100-000,,15
"£100,001 - 125,000",ps100-001-125-000,,16
"£125,001 - 150,000",ps125-001-150-000,,17
"£150,001 +",ps150-001,,18
Not reported,not-reported,,19
unknown,unknown,,20
